step,loss_total,loss_action,loss_latent,step_time_s,samples_per_s
106,0.004044081084430218,0.0020112874917685986,0.002032793592661619,0.0038945768028497696,32866.215375785854
107,0.0030177393928170204,0.0009325402788817883,0.002085199113935232,0.0038842279464006424,32953.78174666923
108,0.003435631515458226,0.0013859004247933626,0.0020497310906648636,0.003894185647368431,32869.51665658221
109,0.004366608336567879,0.002362450584769249,0.002004157518967986,0.0038803983479738235,32986.30411664722
110,0.0029847577679902315,0.000970733817666769,0.0020140239503234625,0.0038943570107221603,32868.07029955992
111,0.0030711241997778416,0.000960919598583132,0.0021102046594023705,0.003895474597811699,32858.64065752209
112,0.0038807475939393044,0.0019021140178665519,0.0019786334596574306,0.0038887951523065567,32915.07908923398
113,0.0029902150854468346,0.0008945970330387354,0.002095618052408099,0.0038867685943841934,32932.240984179276
114,0.002756162080913782,0.0007857753662392497,0.0019703868310898542,0.003892330452799797,32885.1831960794
115,0.003480058629065752,0.0014793757582083344,0.0020006827544420958,0.0038800593465566635,32989.18613541127
116,0.0027128250803798437,0.0007552532479166985,0.0019575718324631453,0.003900725394487381,32814.409386749794
117,0.0028755911625921726,0.0009341054828837514,0.0019414856797084212,0.0038870424032211304,32929.921189933106
118,0.0029228609055280685,0.000995058217085898,0.0019278026884421706,0.003895169124007225,32861.217555636635
119,0.00285802548751235,0.0007872654823586345,0.0020707601215690374,0.0038977228105068207,32839.68774150878
120,0.002939073834568262,0.0010288379853591323,0.001910235732793808,0.003883916884660721,32956.4210051785
121,0.002606897382065654,0.0006002902518957853,0.0020066071301698685,0.003887603059411049,32925.17215463641
122,0.0024350094608962536,0.0005572292720898986,0.0018777800723910332,0.003890305757522583,32902.298168335416
123,0.002818821696564555,0.0009019675781019032,0.001916854060254991,0.0038899891078472137,32904.97645399254
124,0.0024597859010100365,0.0005593984387814999,0.0019003875786438584,0.003908149898052216,32752.070247815718
125,0.0024898338597267866,0.0006046660128049552,0.0018851679051294923,0.0038792863488197327,32995.75965536646
